feature,importance
MQ135_TGS2602_ratio,0.051870947946773514
MQ3_auc,0.03823080855376206
MQ9_max,0.03466496854198195
MQ9_mean,0.03421327921434004
MQ3_min,0.03355102002068144
MQ9_min,0.03343042565527656
TGS2602_mean,0.03307874529078321
TGS2602_min,0.032702899551387235
MQ135_auc,0.03230945757605925
MQ2_mean,0.032218303471119786
MQ3_mean,0.03142791925435764
MQ3_max,0.031410628212027156
TGS2602_auc,0.0297279758531746
MQ9_auc,0.028500312737550902
MQ3_delta_mean,0.02738503532949282
MQ2_auc,0.026844774715977442
TGS2602_max,0.02682074769502167
all_sensors_mean,0.026243654689211
MQ135_mean,0.02567889741002196
MQ2_min,0.024436012029855042
MQ135_min,0.023850164827896436
MQ2_max,0.023158747315193014
MQ3_MQ2_ratio,0.02303509106254545
MQ135_delta_mean,0.021993703092737595
TGS2602_delta_mean,0.02098751440290476
MQ9_delta_mean,0.019139036070231243
MQ135_max,0.017852586804433388
MQ2_delta_mean,0.017674344742259922
MQ2_std,0.016558441311382604
MQ2_delta_std,0.01620128161533821
TGS2602_std,0.015270450714948543
MQ3_delta_max_abs,0.015072936183435352
MQ2_delta_max_abs,0.01469830907886646
MQ135_delta_max_abs,0.011781935933055494
MQ135_std,0.010628661634442845
MQ9_delta_max_abs,0.010383676104478672
TGS2602_delta_max_abs,0.009120178479655287
MQ3_std,0.00876626775509068
TGS2602_slope,0.007404338511656536
MQ3_delta_std,0.007269362936567352
MQ9_delta_std,0.007204627492508998
MQ135_delta_std,0.006989917253500021
MQ135_slope,0.006074569631910596
TGS2602_delta_std,0.005755728788993524
MQ2_slope,0.004813570488277646
MQ3_slope,0.004348196677992841
MQ9_std,0.004213427915449772
TGS2602_range,0.0032246532971489327
MQ135_range,0.002955656639297035
MQ9_slope,0.0028453378967909265
MQ9_range,0.002562754599588861
MQ2_range,0.0017167324848710915
MQ3_range,0.0017009845076946934
