pineapple_id,stage,count,percentage
01,0,900,9.1%
01,1,900,9.1%
01,2,900,9.1%
01,3,900,9.1%
01,4,900,9.1%
01,5,900,9.1%
01,6,900,9.1%
01,7,900,9.1%
01,8,900,9.1%
01,9,900,9.1%
01,10,900,9.1%
02,0,900,10.0%
02,1,900,10.0%
02,2,900,10.0%
02,3,900,10.0%
02,4,900,10.0%
02,5,900,10.0%
02,6,900,10.0%
02,7,900,10.0%
02,8,900,10.0%
02,9,900,10.0%
03,0,900,11.1%
03,1,900,11.1%
03,2,900,11.1%
03,3,450,5.6%
03,4,450,5.6%
03,5,390,4.8%
03,6,510,6.3%
03,7,390,4.8%
03,8,510,6.3%
03,9,410,5.1%
03,10,490,6.0%
03,11,370,4.6%
03,12,530,6.5%
03,13,500,6.2%
03,14,400,4.9%
04,0,900,11.1%
04,1,900,11.1%
04,2,300,3.7%
04,3,600,7.4%
04,4,900,11.1%
04,5,900,11.1%
04,6,900,11.1%
04,7,330,4.1%
04,8,570,7.0%
04,9,900,11.1%
04,10,510,6.3%
04,11,389,4.8%
05,0,500,6.2%
05,1,400,4.9%
05,2,900,11.1%
05,3,900,11.1%
05,4,600,7.4%
05,5,300,3.7%
05,6,900,11.1%
05,7,300,3.7%
05,8,600,7.4%
05,9,900,11.1%
05,10,900,11.1%
05,11,900,11.1%
06,0,900,14.3%
06,1,900,14.3%
06,2,900,14.3%
06,3,900,14.3%
06,4,900,14.3%
06,5,300,4.8%
06,6,600,9.5%
06,7,899,14.3%
07,0,300,4.2%
07,1,300,4.2%
07,2,300,4.2%
07,3,300,4.2%
07,4,300,4.2%
07,5,300,4.2%
07,6,300,4.2%
07,7,300,4.2%
07,8,300,4.2%
07,9,300,4.2%
07,10,300,4.2%
07,11,300,4.2%
07,12,300,4.2%
07,13,300,4.2%
07,14,300,4.2%
07,15,300,4.2%
07,16,300,4.2%
07,17,300,4.2%
07,18,300,4.2%
07,19,300,4.2%
07,20,300,4.2%
07,21,360,5.0%
07,22,538,7.5%
08,0,300,4.2%
08,1,300,4.2%
08,2,300,4.2%
08,3,300,4.2%
08,4,300,4.2%
08,5,300,4.2%
08,6,300,4.2%
08,7,300,4.2%
08,8,300,4.2%
08,9,600,8.3%
08,10,300,4.2%
08,11,380,5.3%
08,12,520,7.2%
08,13,300,4.2%
08,14,300,4.2%
08,15,300,4.2%
08,16,300,4.2%
08,17,300,4.2%
08,18,300,4.2%
08,19,300,4.2%
08,20,300,4.2%
08,21,300,4.2%
09,0,900,20.0%
09,1,900,20.0%
09,2,900,20.0%
09,3,900,20.0%
09,4,900,20.0%
10,0,900,25.0%
10,1,440,12.2%
10,2,460,12.8%
10,3,900,25.0%
10,4,900,25.0%
11,0,320,8.9%
11,1,580,16.1%
11,2,480,13.3%
11,3,420,11.7%
11,4,900,25.0%
11,5,900,25.0%
