pineapple_id,start_idx,end_idx,majority_label,label_purity,true_label,predicted_label
01,840,960,0,1.0,0,2
01,2640,2760,1,1.0,1,0
01,4440,4560,2,1.0,2,0
02,840,960,0,1.0,0,3
02,2640,2760,1,1.0,1,0
02,4440,4560,2,1.0,2,3
03,1800,1920,1,1.0,1,2
03,2520,2640,1,1.0,1,2
03,2640,2760,1,1.0,1,0
03,2880,3000,1,1.0,1,2
03,3000,3120,1,1.0,1,2
03,3120,3240,2,0.75,2,1
03,3240,3360,2,1.0,2,1
03,3360,3480,2,1.0,2,1
03,3480,3600,2,1.0,2,1
03,3600,3720,2,1.0,2,1
03,3960,4080,3,0.75,3,1
03,4080,4200,3,1.0,3,1
03,4200,4320,3,1.0,3,2
03,4320,4440,3,1.0,3,1
03,4440,4560,3,1.0,3,2
04,2640,2760,1,0.5,1,3
04,4320,4440,2,1.0,2,0
04,4440,4560,2,0.5,2,3
04,4560,4680,3,1.0,3,1
04,4680,4800,3,1.0,3,1
04,4800,4920,3,1.0,3,1
04,5160,5280,3,1.0,3,0
04,5280,5400,3,1.0,3,0
05,0,120,0,1.0,0,1
05,600,720,0,1.0,0,2
05,2640,2760,1,0.5,1,0
05,3600,3720,3,1.0,3,2
06,2640,2760,1,1.0,1,3
06,3000,3120,1,1.0,1,0
06,3480,3600,1,1.0,1,0
07,480,600,0,1.0,0,1
07,5280,5400,3,1.0,3,0
09,840,960,0,1.0,0,3
09,1200,1320,0,1.0,0,3
10,960,1080,0,1.0,0,3
10,1080,1200,0,1.0,0,3
10,1200,1320,0,1.0,0,1
10,1320,1440,1,0.8333333333333334,1,0
10,1560,1680,1,1.0,1,0
