experiment,type,accuracy,n_samples,improvement
window_50s,window,0.9958762886597938,484.0,0.015876288659793847
window_60s,window,0.9801543209876543,403.0,0.00015432098765433278
ensemble_雙 RF（不同參數）,ensemble,0.9801543209876543,,0.00015432098765433278
ensemble_RF單一（基準）,ensemble,0.9801543209876543,,0.00015432098765433278
ensemble_RF + SVM (Soft Voting),ensemble,0.977685185185185,,-0.0023148148148149916
window_55s,window,0.9680773249738767,439.0,-0.01192267502612332
window_65s,window,0.9594594594594594,370.0,-0.020540540540540553
window_70s,window,0.9592497868712704,343.0,-0.0207502131287296
ensemble_RF + SVM (Hard Voting),ensemble,0.9577160493827159,,-0.022283950617284054
window_80s,window,0.9533333333333334,300.0,-0.026666666666666616
