experiment,accuracy,improvement,stage1_recall,n_samples,n_features
window_60s,0.972716049382716,0.017716049382716093,0.968421052631579,403.0,
class_weight_Balanced,0.97,0.015000000000000013,0.9565217391304348,,
features_30,0.97,0.015000000000000013,,,30.0
class_weight_Custom (強化Stage1),0.9650000000000001,0.01000000000000012,0.927536231884058,,
class_weight_None (基準),0.9650000000000001,0.01000000000000012,0.927536231884058,,
class_weight_Custom (強化Stage2),0.9650000000000001,0.01000000000000012,0.927536231884058,,
features_40,0.9650000000000001,0.01000000000000012,,,40.0
features_53,0.9650000000000001,0.01000000000000012,,,53.0
features_20,0.96,0.0050000000000000044,,,20.0
features_10,0.9550000000000001,1.1102230246251565e-16,,,10.0
window_120s,0.95,-0.0050000000000000044,0.9782608695652174,200.0,
window_180s,0.9478632478632478,-0.007136752136752134,0.96875,133.0,
window_240s,0.858421052631579,-0.09657894736842099,0.782608695652174,99.0,
