model,fold,test_pid,group_overlap,dup_rows,train_acc_leaky,test_acc_leaky,gap_leaky,train_acc_clean,test_acc_clean,gap_clean,leak_gain_test
SVM,1,1,0,0,0.9588109046075163,0.6239393939393939,0.3348715106681224,0.9217468073123583,0.9304040404040405,-0.008657233091682204,-0.30646464646464655
SVM,2,2,0,0,0.9649683919696083,0.5912222222222222,0.37374616974738606,0.9582413622235236,0.9934444444444445,-0.035203082220920834,-0.40222222222222226
SVM,3,3,0,0,0.9527979021289835,0.9071604938271605,0.04563740830182306,0.9550794850141487,0.9961728395061729,-0.041093354492024114,-0.0890123456790124
SVM,4,4,0,0,0.9509755989155073,0.9201234567901234,0.030852142125383897,0.954990592174467,0.9962962962962963,-0.04130570412182932,-0.07617283950617293
SVM,5,5,0,0,0.9544424196630962,0.9597530864197531,-0.005310666756656923,0.9251818599345156,0.9909876543209877,-0.06580579438647205,-0.031234567901234578
SVM,6,6,0,0,0.9552800946636266,0.9126845531036673,0.04259554155995937,0.9261306242604405,0.9892046356564534,-0.06307401139601299,-0.0765200825527862
SVM,7,7,0,0,0.9507741341247679,0.7438177271464296,0.20695640697833828,0.9189754236173043,0.7445123645457071,0.1744630590715972,-0.0006946373992775534
SVM,8,8,0,0,0.9482872055791921,0.49777777777777776,0.45050942780141434,0.9181835460619617,0.3765277777777778,0.5416557682841839,0.12124999999999997
SVM,9,9,0,0,0.9628535662545536,0.8597777777777778,0.1030757884767759,0.9541612163663727,0.9966666666666667,-0.04250545030029396,-0.13688888888888895
SVM,10,10,0,0,0.9709849021487006,0.4413888888888889,0.5295960132598116,0.9491784379904719,0.8161111111111111,0.13306732687936074,-0.37472222222222223
SVM,11,11,0,0,0.9553453616122894,0.4911111111111111,0.46423425050117834,0.9334972290512105,0.4911111111111111,0.44238611794009935,0.0
RF,1,1,0,0,0.9992084874499597,0.6346464646464647,0.36456202280349503,0.9992845944259251,0.9994949494949495,-0.00021035506902444823,-0.36484848484848487
RF,2,2,0,0,0.9991591212817394,0.5974444444444444,0.401714676837295,0.9992492154301245,0.9993333333333333,-8.411790320883572e-05,-0.40188888888888885
RF,3,3,0,0,0.9989629168703794,0.9185185185185185,0.0804443983518609,0.9989036549772583,1.0,-0.001096345022741696,-0.08148148148148149
RF,4,4,0,0,0.9989332859238188,0.7272839506172839,0.2716493353065349,0.998888839503978,1.0,-0.0011111604960220012,-0.2727160493827161
RF,5,5,0,0,0.9989629168703794,0.9765432098765432,0.02241970699383622,0.998888839503978,0.9988888888888889,-4.9384910938421456e-08,-0.022345679012345743
RF,6,6,0,0,0.9990764524228694,0.9774567391649468,0.021619713257922557,0.9987589829432307,0.9976186696301,0.001140313313130692,-0.020161930465153244
RF,7,7,0,0,0.9990496937089723,0.7484023339816616,0.2506473597273108,0.9988742525475519,0.7497916087802168,0.24908264376733513,-0.0013892747985552178
RF,8,8,0,0,0.9990204248724359,0.8998611111111111,0.09915931376132481,0.9988157375323479,0.9388888888888889,0.059926848643458985,-0.03902777777777777
RF,9,9,0,0,0.9992826701548588,0.8822222222222222,0.11706044793263659,0.9991842131172904,0.9966666666666667,0.002517546450623742,-0.11444444444444446
