pineapple_id,stage,count,percentage
04,0,900,25.0%
04,1,900,25.0%
04,2,300,8.3%
04,3,600,16.7%
04,4,899,25.0%
02,0,900,25.0%
02,1,900,25.0%
02,2,900,25.0%
02,3,900,25.0%
03,0,900,25.0%
03,1,900,25.0%
03,2,900,25.0%
03,3,450,12.5%
03,4,450,12.5%
06,0,900,33.3%
06,1,900,33.3%
06,2,900,33.3%
01,0,900,20.0%
01,1,900,20.0%
01,2,900,20.0%
01,3,900,20.0%
01,4,900,20.0%
08,0,300,11.1%
08,1,300,11.1%
08,2,300,11.1%
08,3,300,11.1%
08,4,300,11.1%
08,5,300,11.1%
08,6,300,11.1%
08,7,300,11.1%
08,8,300,11.1%
07,0,300,11.1%
07,1,300,11.1%
07,2,300,11.1%
07,3,300,11.1%
07,4,300,11.1%
07,5,300,11.1%
07,6,370,13.7%
07,7,529,19.6%
05,0,500,13.9%
05,1,400,11.1%
05,2,900,25.0%
05,3,900,25.0%
05,4,600,16.7%
05,5,300,8.3%
