feature,importance
MQ135_TGS2602_ratio,0.05027940935392301
MQ135_auc,0.04740084178885512
MQ9_auc,0.04219980451052323
MQ135_mean,0.041429090312800516
TGS2602_mean,0.03948634438650421
MQ9_mean,0.03817955641781139
MQ3_min,0.035734303775007616
MQ3_MQ2_ratio,0.03530577619986297
MQ9_max,0.03461194087403867
MQ3_delta_mean,0.03253914955469527
TGS2602_auc,0.032517897434205745
MQ135_min,0.031444112944573006
TGS2602_max,0.03058800041527838
MQ3_auc,0.02969846290766692
MQ2_auc,0.02895936044579972
MQ3_mean,0.027393041542838736
MQ9_min,0.027086478238645316
MQ9_delta_mean,0.026195387402068105
TGS2602_min,0.02551154449414092
MQ135_max,0.02478273865414401
MQ9_delta_max_abs,0.02275664513691662
all_sensors_mean,0.02123787159068956
MQ2_max,0.02051242812210132
MQ3_max,0.02039057768595251
MQ2_mean,0.019540547954609692
MQ2_min,0.01873464731298297
MQ3_delta_max_abs,0.018438792445178136
MQ2_delta_mean,0.017854001782682084
MQ135_delta_mean,0.017450010170714982
TGS2602_delta_mean,0.016564007410375784
MQ9_delta_std,0.014269483477248499
MQ2_delta_max_abs,0.013478837422563315
TGS2602_delta_max_abs,0.010062281167088518
MQ2_delta_std,0.009841154936437557
MQ135_delta_max_abs,0.00895645491409472
TGS2602_delta_std,0.008475558254178298
MQ2_std,0.008166354124934126
MQ3_delta_std,0.007499409479727601
MQ135_delta_std,0.004735455526091016
TGS2602_std,0.004574123046117829
MQ135_slope,0.00440252115240783
MQ9_slope,0.004373138997285561
MQ3_slope,0.003706321224145419
MQ2_slope,0.003640933008214539
TGS2602_slope,0.0036277955632319824
MQ135_std,0.0033699444465567687
MQ3_std,0.002554617607440793
MQ9_std,0.002410372769969622
MQ135_range,0.0018546324893816747
MQ9_range,0.0018040786222162898
TGS2602_range,0.0014882111549291374
MQ2_range,0.0010141548231891793
MQ3_range,0.0008713945269632631
