experiment,accuracy,improvement,stage1_recall,n_samples,n_features
window_60s,0.9843695380774033,0.02936953807740339,0.9754601226993865,448.0,
features_30,0.9685858585858587,0.013585858585858701,,,30.0
features_20,0.9641414141414142,0.009141414141414228,,,20.0
class_weight_Custom (強化Stage1),0.9640404040404039,0.00904040404040396,0.9259259259259259,,
class_weight_Balanced,0.9640404040404039,0.00904040404040396,0.9259259259259259,,
features_40,0.9640404040404039,0.00904040404040396,,,40.0
class_weight_None (基準),0.955050505050505,5.0505050505078586e-05,0.9012345679012346,,
class_weight_Custom (強化Stage2),0.955050505050505,5.0505050505078586e-05,0.9012345679012346,,
window_120s,0.955050505050505,5.0505050505078586e-05,0.9012345679012346,222.0,
features_53,0.955050505050505,5.0505050505078586e-05,,,53.0
features_10,0.9368686868686869,-0.01813131313131311,,,10.0
window_180s,0.9052873563218391,-0.04971264367816086,0.9285714285714286,148.0,
window_240s,0.8727272727272727,-0.08227272727272728,0.8333333333333334,110.0,
