pineapple_id,stage,count,percentage
01,0,3602,36.4%
01,1,1799,18.2%
01,2,4499,45.4%
02,0,2250,25.0%
02,1,2250,25.0%
02,2,2250,25.0%
02,3,2250,25.0%
03,0,2698,33.3%
03,1,2700,33.3%
03,2,2702,33.4%
04,0,2025,25.0%
04,1,2025,25.0%
04,2,2025,25.0%
04,3,2025,25.0%
05,0,2025,25.0%
05,1,2025,25.0%
05,2,2025,25.0%
05,3,2025,25.0%
06,0,1574,25.0%
06,1,1575,25.0%
06,2,1575,25.0%
06,3,1575,25.0%
07,0,1799,25.0%
07,1,1800,25.0%
07,2,1799,25.0%
07,3,1800,25.0%
08,0,1800,25.0%
08,1,1800,25.0%
08,2,1800,25.0%
08,3,1800,25.0%
09,0,1125,25.0%
09,1,1125,25.0%
09,2,1125,25.0%
09,3,1125,25.0%
10,0,900,25.0%
10,1,900,25.0%
10,2,900,25.0%
10,3,900,25.0%
11,0,900,25.0%
11,1,900,25.0%
11,2,900,25.0%
11,3,900,25.0%
