pineapple_id,start_idx,end_idx,majority_label,label_purity,true_label,predicted_label
01,840,960,0,1.0,0,2
01,2640,2760,1,1.0,1,0
01,4440,4560,2,1.0,2,0
01,6240,6360,3,1.0,3,1
01,8040,8160,3,1.0,3,0
02,840,960,0,1.0,0,1
02,2640,2760,1,1.0,1,3
02,4440,4560,2,1.0,2,1
02,6240,6360,3,1.0,3,1
02,8040,8160,3,1.0,3,0
03,1080,1200,0,1.0,0,2
03,2640,2760,1,1.0,1,3
03,2760,2880,1,1.0,1,2
03,2880,3000,1,1.0,1,2
03,3000,3120,1,1.0,1,2
03,3240,3360,2,1.0,2,1
03,3360,3480,2,1.0,2,3
03,3480,3600,2,1.0,2,1
03,3600,3720,2,1.0,2,3
03,3720,3840,2,1.0,2,1
03,3840,3960,2,1.0,2,3
03,3960,4080,3,0.75,3,2
03,4080,4200,3,1.0,3,2
03,4200,4320,3,1.0,3,2
03,4320,4440,3,1.0,3,2
03,4440,4560,3,1.0,3,2
04,1440,1560,0,1.0,0,2
04,1560,1680,0,1.0,0,2
04,1680,1800,0,1.0,0,2
04,2640,2760,1,0.5,1,3
04,3480,3600,2,1.0,2,0
04,3960,4080,2,1.0,2,0
04,4080,4200,2,1.0,2,0
04,4440,4560,2,0.5,2,3
04,4800,4920,3,1.0,3,0
04,4920,5040,3,1.0,3,0
04,5040,5160,3,1.0,3,0
04,5160,5280,3,1.0,3,0
04,5280,5400,3,1.0,3,0
04,7080,7200,3,1.0,3,2
05,480,600,0,1.0,0,1
05,2640,2760,1,0.5,1,3
05,2880,3000,2,1.0,2,1
05,3240,3360,2,1.0,2,1
05,3600,3720,3,1.0,3,2
05,3720,3840,3,1.0,3,2
06,3000,3120,1,1.0,1,0
06,3480,3600,1,1.0,1,0
06,4440,4560,2,1.0,2,1
06,4560,4680,2,1.0,2,3
06,4680,4800,2,1.0,2,3
06,5280,5400,3,1.0,3,1
07,480,600,0,1.0,0,1
08,600,720,1,1.0,1,0
08,2520,2640,3,1.0,3,1
08,2640,2760,3,1.0,3,1
08,6240,6360,3,1.0,3,1
09,840,960,0,1.0,0,3
09,1560,1680,0,1.0,0,3
09,1680,1800,0,1.0,0,3
09,2880,3000,1,1.0,1,3
09,3000,3120,1,1.0,1,3
09,3600,3720,2,1.0,2,3
09,3720,3840,2,1.0,2,3
09,3840,3960,2,1.0,2,3
09,3960,4080,2,1.0,2,3
09,4080,4200,2,1.0,2,3
09,4200,4320,2,1.0,2,3
09,4320,4440,2,1.0,2,3
10,840,960,0,1.0,0,1
10,960,1080,0,1.0,0,3
10,1080,1200,0,1.0,0,3
10,1200,1320,0,1.0,0,1
10,1320,1440,1,0.8333333333333334,1,3
10,1440,1560,1,1.0,1,0
10,1560,1680,1,1.0,1,3
10,1680,1800,1,1.0,1,3
10,2400,2520,1,1.0,1,0
10,2520,2640,1,1.0,1,0
10,2640,2760,1,0.5,1,2
10,3120,3240,2,1.0,2,0
