experiment,accuracy,improvement,stage1_recall,n_samples,n_features
window_60s,0.9968127490039841,0.04181274900398413,1.0,1257.0,
features_20,0.9552253968253968,0.00022539682539679529,,,20.0
features_40,0.9536380952380952,-0.0013619047619047864,,,40.0
class_weight_Custom (強化Stage1),0.9488634920634921,-0.0061365079365078845,0.8617886178861789,,
class_weight_None (基準),0.9488507936507936,-0.006149206349206349,0.8617886178861789,,
features_53,0.9488507936507936,-0.006149206349206349,,,53.0
class_weight_Balanced,0.9472888888888888,-0.007711111111111113,0.8455284552845529,,
features_30,0.9472507936507937,-0.0077492063492062835,,,30.0
class_weight_Custom (強化Stage2),0.9456634920634921,-0.009336507936507865,0.8617886178861789,,
window_180s,0.9424268502581755,-0.012573149741824441,0.9183673469387755,417.0,
window_120s,0.9408507936507936,-0.014149206349206356,0.9121621621621622,626.0,
features_10,0.9344888888888889,-0.020511111111111036,,,10.0
window_240s,0.864516129032258,-0.09048387096774191,0.8055555555555556,310.0,
